timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
18:39.2,614,3 /,200,OK,EditStaff 1-1,text,TRUE,,4328,371,1,6,614,0,531
18:39.2,583,71 /adminlogin.php,200,OK,AddCustomer 4-1,text,TRUE,,2201,385,1,6,583,0,482
18:39.4,395,55 /adminlogin.php,200,OK,DeleteCustomer 3-1,text,TRUE,,2201,385,1,6,395,0,300
18:39.5,247,24 /,200,OK,EditCustomer 2-1,text,TRUE,,4328,371,1,6,247,0,149
18:39.6,266,86 /adminlogin.php,200,OK,DeleteStaff 5-1,text,TRUE,,2201,385,1,6,266,0,105
18:39.6,166,100 /adminlogin.php,200,OK,AddStaff 6-1,text,TRUE,,2201,385,1,6,166,0,79
18:39.8,84,10 /adminlogin.php,200,OK,EditStaff 1-1,text,TRUE,,2200,385,1,6,84,0,0
18:39.8,260,57 /adminlogin.php,200,OK,DeleteCustomer 3-1,text,TRUE,,7043,1646,1,6,86,0,0
18:39.8,89,30 /adminlogin.php,200,OK,EditCustomer 2-1,text,TRUE,,2200,385,1,6,89,0,0
18:39.8,268,74 /adminlogin.php,200,OK,AddCustomer 4-1,text,TRUE,,7043,1646,1,6,91,0,0
18:39.8,265,103 /adminlogin.php,200,OK,AddStaff 6-1,text,TRUE,,7043,1646,1,6,90,0,0
18:39.9,255,89 /adminlogin.php,200,OK,DeleteStaff 5-1,text,TRUE,,7043,1646,1,6,85,0,0
18:39.9,252,11 /adminlogin.php,200,OK,EditStaff 1-1,text,TRUE,,7043,1646,1,6,85,0,0
18:39.9,266,31 /adminlogin.php,200,OK,EditCustomer 2-1,text,TRUE,,7043,1646,1,6,90,0,0
18:40.0,170,58 /admin_hompage.php,200,OK,DeleteCustomer 3-1,text,TRUE,,4811,961,1,6,84,0,0
18:40.1,175,75 /admin_hompage.php,200,OK,AddCustomer 4-1,text,TRUE,,4811,961,1,6,86,0,0
18:40.1,177,104 /admin_hompage.php,200,OK,AddStaff 6-1,text,TRUE,,4811,961,1,6,89,0,0
18:40.1,167,90 /admin_hompage.php,200,OK,DeleteStaff 5-1,text,TRUE,,4811,961,1,6,82,0,0
18:40.1,170,12 /admin_hompage.php,200,OK,EditStaff 1-1,text,TRUE,,4811,961,1,6,82,0,0
18:40.1,174,32 /admin_hompage.php,200,OK,EditCustomer 2-1,text,TRUE,,4811,961,1,6,86,0,0
18:40.2,819,59 /delete_customer.php,200,OK,DeleteCustomer 3-1,text,TRUE,,510326,969,2,10,97,0,0
18:40.2,176,76 /addcustomer.php,200,OK,AddCustomer 4-1,text,TRUE,,7186,965,1,6,87,0,0
18:40.3,174,105 /addstaff.php,200,OK,AddStaff 6-1,text,TRUE,,7047,962,1,6,87,0,0
18:40.3,171,91 /delete_staff.php,200,OK,DeleteStaff 5-1,text,TRUE,,5854,966,1,6,86,0,0
18:40.3,167,13 /display_staff.php,200,OK,EditStaff 1-1,text,TRUE,,5856,967,1,6,84,0,0
18:40.3,876,33 /display_customer.php,200,OK,EditCustomer 2-1,text,TRUE,,510329,970,1,10,101,0,0
18:40.4,329,77 /add_customer.php,200,OK,AddCustomer 4-1,text,TRUE,,5209,1889,2,7,138,0,0
18:40.4,186,106 /add_staff.php,200,OK,AddStaff 6-1,text,TRUE,,2625,1313,1,6,96,0,0
18:40.4,290,92 /editstaff.php,200,OK,DeleteStaff 5-1,text,TRUE,,10080,1654,1,7,96,0,0
18:40.4,176,14 /editstaff.php,200,OK,EditStaff 1-1,text,TRUE,,6506,1122,1,6,90,0,0
18:40.6,192,107 /admin_hompage.php,200,OK,AddStaff 6-1,text,TRUE,,4811,957,1,7,87,0,0
18:40.6,317,15 /alter_staff.php,200,OK,EditStaff 1-1,text,TRUE,,5204,1825,2,10,107,0,0
18:40.7,193,71 /adminlogin.php,200,OK,AddCustomer 4-2,text,TRUE,,2201,385,2,7,193,0,85
18:40.7,211,93 /delete_staff.php,200,OK,DeleteStaff 5-1,text,TRUE,,5854,964,2,10,101,0,0
18:40.7,197,78 /admin_hompage.php,200,OK,AddCustomer 4-1,text,TRUE,,4811,963,2,10,95,0,0
18:40.8,205,108 /display_staff.php,200,OK,AddStaff 6-1,text,TRUE,,5856,967,1,10,118,0,0
18:40.9,301,74 /adminlogin.php,200,OK,AddCustomer 4-2,text,TRUE,,7043,1646,2,10,97,0,0
18:40.9,215,3 /,200,OK,EditStaff 1-2,text,TRUE,,4328,371,2,10,215,0,95
18:40.9,214,55 /adminlogin.php,200,OK,DeleteCustomer 3-2,text,TRUE,,2201,385,2,10,214,0,95
18:40.9,190,86 /adminlogin.php,200,OK,DeleteStaff 5-2,text,TRUE,,2201,385,2,10,190,0,80
18:40.9,179,16 /admin_hompage.php,200,OK,EditStaff 1-1,text,TRUE,,4811,959,2,10,83,0,0
18:40.9,192,94 /admin_hompage.php,200,OK,DeleteStaff 5-1,text,TRUE,,4811,965,2,10,96,0,0
18:40.9,1153,79 /display_customer.php,200,OK,AddCustomer 4-1,text,TRUE,,510540,970,3,10,119,0,0
18:41.0,207,109 /admin_hompage.php,200,OK,AddStaff 6-1,text,TRUE,,4811,967,2,10,103,0,0
18:41.0,194,62 /editcustomer.php,200,OK,DeleteCustomer 3-1,text,TRUE,,2622,1138,2,9,97,0,0
18:41.1,86,10 /adminlogin.php,200,OK,EditStaff 1-2,text,TRUE,,2200,385,2,10,86,0,0
18:41.1,313,57 /adminlogin.php,200,OK,DeleteCustomer 3-2,text,TRUE,,7043,1646,2,9,97,0,0
18:41.1,313,89 /adminlogin.php,200,OK,DeleteStaff 5-2,text,TRUE,,7043,1646,1,9,100,0,0
18:41.1,302,17 /display_staff.php,200,OK,EditStaff 1-1,text,TRUE,,5857,967,2,9,103,0,0
18:41.2,180,100 /adminlogin.php,200,OK,AddStaff 6-2,text,TRUE,,2201,385,1,9,180,0,86
18:41.2,258,75 /admin_hompage.php,200,OK,AddCustomer 4-2,text,TRUE,,4811,961,2,9,101,0,0
18:41.2,348,11 /adminlogin.php,200,OK,EditStaff 1-2,text,TRUE,,7043,1646,1,8,87,0,0
18:41.2,221,39 /success.txt,200,OK,EditCustomer 2-1,text,TRUE,,384,298,1,9,221,0,112
18:41.2,677,63 /delete_customer.php,200,OK,DeleteCustomer 3-1,text,TRUE,,510537,973,2,9,103,0,0
18:41.3,330,103 /adminlogin.php,200,OK,AddStaff 6-2,text,TRUE,,7043,1646,1,8,103,0,0
18:41.4,219,76 /addcustomer.php,200,OK,AddCustomer 4-2,text,TRUE,,7186,965,2,8,104,0,0
18:41.4,220,40 /editcustomer.php,200,OK,EditCustomer 2-1,text,TRUE,,6044,1137,1,8,105,0,0
18:41.4,220,58 /admin_hompage.php,200,OK,DeleteCustomer 3-2,text,TRUE,,4811,961,2,8,105,0,0
18:41.4,223,90 /admin_hompage.php,200,OK,DeleteStaff 5-2,text,TRUE,,4811,961,1,8,107,0,0
18:41.5,218,12 /admin_hompage.php,200,OK,EditStaff 1-2,text,TRUE,,4811,961,1,8,116,0,0
18:41.6,357,77 /add_customer.php,200,OK,AddCustomer 4-2,text,TRUE,,5209,1889,3,10,140,0,0
18:41.6,382,41 /alter_customer.php,200,OK,EditCustomer 2-1,text,TRUE,,5207,1815,2,10,209,0,103
18:41.6,1176,59 /delete_customer.php,200,OK,DeleteCustomer 3-2,text,TRUE,,510746,969,3,11,129,0,0
18:41.6,207,91 /delete_staff.php,200,OK,DeleteStaff 5-2,text,TRUE,,5854,966,1,8,119,0,0
18:41.7,239,104 /admin_hompage.php,200,OK,AddStaff 6-2,text,TRUE,,4811,961,1,9,117,0,0
18:41.7,178,13 /display_staff.php,200,OK,EditStaff 1-2,text,TRUE,,5856,967,1,9,95,0,0
18:41.9,263,92 /editstaff.php,200,OK,DeleteStaff 5-2,text,TRUE,,10080,1654,1,9,93,0,0
18:41.9,180,71 /adminlogin.php,200,OK,AddCustomer 4-3,text,TRUE,,2201,385,3,10,180,0,89
18:41.9,167,105 /addstaff.php,200,OK,AddStaff 6-2,text,TRUE,,7047,962,1,10,84,0,0
18:41.9,178,64 /admin_hompage.php,200,OK,DeleteCustomer 3-1,text,TRUE,,4811,971,2,10,92,0,0
18:41.9,183,14 /editstaff.php,200,OK,EditStaff 1-2,text,TRUE,,6506,1122,1,9,97,0,0
18:41.9,180,24 /,200,OK,EditCustomer 2-2,text,TRUE,,4328,371,2,9,180,0,90
18:42.0,178,78 /admin_hompage.php,200,OK,AddCustomer 4-2,text,TRUE,,4811,963,2,9,86,0,0
18:42.0,174,42 /admin_hompage.php,200,OK,EditCustomer 2-1,text,TRUE,,4811,965,2,9,87,0,0
18:42.1,273,74 /adminlogin.php,200,OK,AddCustomer 4-3,text,TRUE,,7043,1646,2,10,90,0,0
18:42.1,182,106 /add_staff.php,200,OK,AddStaff 6-2,text,TRUE,,2625,1313,1,9,97,0,0
18:42.1,1105,65 /display_customer.php,200,OK,DeleteCustomer 3-1,text,TRUE,,510749,970,3,11,103,0,0
18:42.1,279,15 /alter_staff.php,200,OK,EditStaff 1-2,text,TRUE,,5204,1825,1,10,95,0,0
18:42.1,184,93 /delete_staff.php,200,OK,DeleteStaff 5-2,text,TRUE,,5854,964,2,10,90,0,0
18:42.1,89,30 /adminlogin.php,200,OK,EditCustomer 2-2,text,TRUE,,2200,385,2,9,89,0,0
18:42.2,1205,79 /display_customer.php,200,OK,AddCustomer 4-2,text,TRUE,,510750,970,3,10,108,0,0
18:42.2,1299,43 /display_customer.php,200,OK,EditCustomer 2-1,text,TRUE,,510749,970,2,9,100,0,0
18:42.2,339,31 /adminlogin.php,200,OK,EditCustomer 2-2,text,TRUE,,7043,1646,2,10,92,0,0
18:42.2,209,107 /admin_hompage.php,200,OK,AddStaff 6-2,text,TRUE,,4811,957,1,11,89,0,0
18:42.3,225,86 /adminlogin.php,200,OK,DeleteStaff 5-3,text,TRUE,,2201,385,2,11,225,0,95
18:42.3,253,94 /admin_hompage.php,200,OK,DeleteStaff 5-2,text,TRUE,,4811,965,2,11,104,0,0
